City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Husavik,IS,66.0449,-17.3389,39.07,96,100,7.99,overcast clouds
1,Kapaa,US,22.0752,-159.319,72.19,78,40,24.16,light rain
2,Punta Arenas,CL,-53.15,-70.9167,46.51,76,20,17.27,few clouds
3,Mataura,NZ,-46.1927,168.8643,43.43,90,0,2.59,clear sky
4,Atuona,PF,-9.8,-139.0333,79.0,80,100,18.25,overcast clouds
5,Faanui,PF,-16.4833,-151.75,79.54,76,34,9.98,light rain
6,Arraial Do Cabo,BR,-22.9661,-42.0278,82.26,61,0,17.27,clear sky
7,Dikson,RU,73.5069,80.5464,12.94,87,100,18.81,overcast clouds
8,Fortuna,US,40.5982,-124.1573,47.93,97,100,6.91,overcast clouds
9,Tuktoyaktuk,CA,69.4541,-133.0374,-22.31,98,37,8.01,scattered clouds
10,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,23.59,68,75,2.24,broken clouds
11,Albany,US,42.6001,-73.9662,37.17,93,100,7.23,overcast clouds
12,Alta Floresta,BR,-9.8756,-56.0861,77.79,92,66,1.39,moderate rain
13,Evensk,RU,61.95,159.2333,10.17,96,100,6.17,overcast clouds
14,Tiksi,RU,71.6872,128.8694,-4.61,95,100,0.76,overcast clouds
15,Katobu,ID,-4.9408,122.5276,76.32,92,100,1.97,overcast clouds
16,Esperance,AU,-33.8667,121.9,62.44,69,0,15.73,clear sky
17,Thompson,CA,55.7435,-97.8558,30.36,74,75,4.61,broken clouds
18,Lovozero,RU,68.005,35.0117,21.16,81,96,16.15,overcast clouds
19,Pisco,PE,-13.7,-76.2167,64.45,82,0,3.44,clear sky
20,Vostok,RU,46.4856,135.8833,18.88,97,27,3.8,scattered clouds
21,Shawville,CA,45.6001,-76.4827,35.85,99,100,12.48,light rain
22,Kayerkan,RU,69.3497,87.7602,6.53,84,90,8.55,overcast clouds
23,Mhango,TZ,-3.2833,32.85,78.08,57,100,3.85,overcast clouds
24,Bluff,NZ,-46.6,168.3333,53.42,72,0,8.25,clear sky
25,Pleasant Point,NZ,-44.2667,171.1333,55.27,97,100,1.74,light rain
26,Qaanaaq,GL,77.484,-69.3632,-14.84,66,23,7.81,few clouds
27,Mahebourg,MU,-20.4081,57.7,84.49,70,40,9.22,scattered clouds
28,Edd,ER,13.9297,41.6925,82.09,74,72,16.2,broken clouds
29,Saint-Philippe,RE,-21.3585,55.7679,81.99,84,55,10.25,light rain
30,Yumen,CN,40.2833,97.2,39.92,41,100,13.06,overcast clouds
31,Hermanus,ZA,-34.4187,19.2345,72.81,69,4,11.86,clear sky
32,New Glasgow,CA,45.5834,-62.6486,29.98,68,73,9.46,broken clouds
33,Plaeng Yao,TH,13.5847,101.284,90.86,99,100,8.72,overcast clouds
34,Rikitea,PF,-23.1203,-134.9692,78.78,73,100,14.16,overcast clouds
35,Oriximina,BR,-1.7656,-55.8661,79.38,84,82,5.06,broken clouds
36,Puerto Ayora,EC,-0.7393,-90.3518,78.96,82,84,7.58,broken clouds
37,Busselton,AU,-33.65,115.3333,68.72,43,0,11.72,clear sky
38,Huambo,AO,-12.7761,15.7392,76.8,65,40,11.5,scattered clouds
39,Hervey Bay,AU,-25.2986,152.8535,72.01,76,10,14.0,clear sky
40,Hilo,US,19.7297,-155.09,69.53,91,75,1.99,broken clouds
41,Danshui,CN,22.7984,114.4672,63.81,94,100,6.29,overcast clouds
42,Kavieng,PG,-2.5744,150.7967,82.17,79,98,12.68,light rain
43,Torbay,CA,47.6666,-52.7314,34.29,90,100,24.16,light snow
44,High Level,CA,58.5169,-117.136,14.11,85,75,12.66,light snow
45,Inhambane,MZ,-23.865,35.3833,87.78,62,20,11.5,few clouds
46,Cockburn Town,TC,21.4612,-71.1419,76.96,73,40,13.8,scattered clouds
47,Cidreira,BR,-30.1811,-50.2056,70.93,90,100,11.05,overcast clouds
48,Port Elizabeth,ZA,-33.918,25.5701,76.32,72,0,25.32,clear sky
49,Eenhana,NA,-17.4667,16.3333,79.77,54,90,3.38,light rain
50,Dubbo,AU,-32.25,148.6167,64.53,82,100,11.5,overcast clouds
51,Ribeira Grande,PT,38.5167,-28.7,61.2,77,75,19.57,broken clouds
52,Pangody,RU,65.85,74.4859,15.22,95,98,8.75,overcast clouds
53,Maturin,VE,9.75,-63.1767,82.4,59,100,9.82,overcast clouds
54,Jamui,IN,24.9167,86.2167,88.41,10,0,5.35,clear sky
55,Ushuaia,AR,-54.8,-68.3,46.02,76,75,13.8,broken clouds
56,Port Alfred,ZA,-33.5906,26.891,75.49,65,39,18.61,scattered clouds
57,Mae Hong Son,TH,19.3003,97.9685,91.54,38,40,2.3,scattered clouds
58,Kudahuvadhoo,MV,2.6708,72.8944,83.82,66,1,13.04,clear sky
59,Iqaluit,CA,63.7506,-68.5145,15.53,78,100,5.75,light snow
60,Bredasdorp,ZA,-34.5322,20.0403,77.61,42,2,16.35,clear sky
61,Guozhen,CN,34.3659,107.359,62.37,39,100,3.11,overcast clouds
62,Kankon,IN,15.0167,74.0167,84.0,73,55,6.2,broken clouds
63,Lebu,CL,-37.6167,-73.65,53.98,66,0,21.85,clear sky
64,Mahibadhoo,MV,3.7833,72.9667,83.39,65,6,12.28,clear sky
65,East London,ZA,-33.0153,27.9116,70.74,94,20,11.5,few clouds
66,Xiaoshi,CN,41.2971,124.1209,45.73,77,100,10.18,overcast clouds
67,Upernavik,GL,72.7868,-56.1549,0.66,64,100,5.99,overcast clouds
68,Vestmannaeyjar,IS,63.4427,-20.2734,41.99,100,75,17.27,drizzle
69,Butaritari,KI,3.0707,172.7902,80.6,77,32,10.49,scattered clouds
70,Sabha,LY,27.0377,14.4283,66.9,17,0,10.04,clear sky
71,Ostrovnoy,RU,68.0531,39.5131,22.55,70,100,25.57,light snow
72,Belyy Yar,RU,53.6039,91.3903,30.09,49,0,13.42,clear sky
73,Larsnes,NO,62.2028,5.5773,50.77,77,100,16.33,overcast clouds
74,Mankera,PK,31.3866,71.4407,90.48,16,0,2.26,clear sky
